Date,Festival/Event,Season,Special Day Type,Location,Customer Segment,Top Purchased Items,Total Sale Value (₹),Estimated Profit (₹),Demand Level (1-10),Discount Sensitivity (1-10)
2023-05-02,Republic Day,Monsoon,Wedding Season,Patna,Families,"Vegetables, Bread, Eggs",635.6,141.23,7,6
2024-05-25,Raksha Bandhan,Monsoon,School Opening,Mumbai,Middle Class,"Sweets, Sugar, Milk, Atta, Rakhi",1210.75,169.5,9,7
2023-05-05,Eid,Summer,Salary Day,Chennai,Families,"Oil, Dates, Milk, Atta",1315.82,219.6,10,2
2023-11-13,Makar Sankranti,Summer,Exam Season,Delhi,Families,"Bread, Rice, Milk",205.8,29.36,6,4
2024-09-10,Holi,Monsoon,Normal Day,Mumbai,Low Income,"Sugar, Bread, Rice, Colors",1180.6,132.73,7,8
2024-07-18,Onam,Winter,Salary Day,Patna,Families,"Sugar, Fruits, Oil",854.84,100.52,6,3
2024-02-04,Navratri,Winter,Wedding Season,Bangalore,Middle Class,"Bread, Milk, Atta",1808.58,242.88,9,6
2023-04-19,Eid,Monsoon,Normal Day,Chennai,Students,"Bread, Dates, Milk, Atta",1527.21,124.9,9,6
2024-09-26,Independence Day,Winter,Wedding Season,Bangalore,Low Income,"Bread, Hand bands, Flags, Vegetables, Eggs",389.62,85.37,7,9
2023-12-22,Christmas,Monsoon,Salary Day,Patna,Retail Bulk,"Sugar, Cake, Milk, Atta, Chocolates",897.49,91.29,4,9
2024-02-29,Holi,Winter,School Opening,Bangalore,Families,"Sugar, Colors, Fruits, Eggs",1563.75,163.93,7,8
2023-02-19,Holi,Monsoon,Normal Day,Lucknow,Low Income,"Vegetables, Colors, Eggs, Atta",1278.22,183.77,7,9
2024-06-02,Republic Day,Winter,School Opening,Patna,Low Income,"Vegetables, Fruits, Atta",1403.8,347.33,5,5
2024-02-20,Diwali,Winter,Weekend,Bangalore,Upper Middle,"Bread, Rice, Oil",1812.67,292.95,10,2
2023-02-12,Republic Day,Summer,Salary Day,Kolkata,Students,"Vegetables, Sugar, Milk",447.02,74.93,5,9
